position_name,salary,work_exp,education,work_city,区域,商圈,company_name,company_size,industry,welfare,job_summary
Unity 3D 高级程序员（ 三消玩法方向）,18-35K,3-5年,学历不限,上海,普陀区,长寿路,泼天网络,0-20人,游戏,[],"['C#', 'Unity3D', 'Lua', '3D游戏客户端开发经验', '手游开发经验', 'Unity3D开发经验']"
unity引擎开发工程师-上海,30-60K·15薪,3-5年,本科,上海,杨浦区,五角场,字节跳动,10000人以上,互联网,"['家庭关爱假', '餐补', '股票期权', '意外险', '家属自选保险', '年终奖', '免费健身设施', '住房补贴', '就近租房补贴', '绩效奖金', '团建聚餐', '节日礼品', '补充医疗保险', '夜班补助', '零食下午茶', '餐饮及下午茶', '年度体检', '定期体检', '带薪年假', '五险一金']","['C#', 'C/C++', 'Unity3D', 'OpenGL', 'Lua', '3D游戏客户端开发经验', '计算机/软件工程相关专业', 'Unity3D开发经验', '软件开发经验', '端游开发经验']"
高级 Unity 开发工程师-remote,30-60K,5-10年,本科,上海,,,某大型互联网公司,100-499人,互联网,"['股票期权', '带薪年假', '零食下午茶', '年终奖', '五险一金', '补充医疗保险', '定期体检']","['Unity3D', 'JavaScript', 'Unity3D开发经验']"
unity游戏开发,10-15K·13薪,1-3年,大专,上海,嘉定区,嘉定镇,上海星海无界科技,0-20人,游戏,"['零食下午茶', '带薪年假', '加班补助', '年终奖', '五险一金']","['C#', 'Unity3D', '3D游戏客户端开发经验', '手游开发经验', 'Unity3D开发经验', '计算机/软件工程相关专业']"
unity研发工程师,15-25K·13薪,1-3年,本科,上海,普陀区,金沙江路,波克城市,1000-9999人,游戏,"['年终奖', '定期体检', '零食下午茶', '员工旅游', '交通补助', '生日福利', '住房补贴', '带薪年假', '团建聚餐', '包吃', '节日福利', '补充医疗保险', '工龄奖', '五险一金']","['C#', 'Unity3D', 'Lua', 'Unity3D开发经验', '计算机/软件工程相关专业']"
Unity开发实习生,150-200元/天,,大专,上海,黄浦区,人民广场,上海寿鸿科技,20-99人,互联网,['五险一金'],"['Unity3D', '计算机/软件工程相关专业']"
unity特效,15-30K,3-5年,学历不限,上海,徐汇区,漕河泾,秦皇岛熊柴伟略文...,20-99人,互联网,"['工龄奖', '定期体检', '生日福利', '保底工资', '零食下午茶', '年终奖', '包住', '团建聚餐', '全勤奖', '带薪年假', '通讯补贴', '员工旅游', '底薪加提成', '一起主机游戏', '五险一金', '意外险', '补充医疗保险', '绩效奖金']",['Unity 3D']
游戏前端程序（Unity 3D）- 模拟经营方向,30-50K·15薪,经验不限,本科,上海,闵行区,虹桥,追觅科技,1000-9999人,家用电器,"['免费班车', '餐补', '带薪年假', '五险一金', '股票期权', '健身房', '节日福利', '团建聚餐', '员工旅游', '零食下午茶', '生日福利', '补充医疗保险', '绩效奖金', '定期体检', '年终奖']","['Unity3D', '计算机/软件工程相关专业', 'Unity3D开发经验', '3D游戏客户端开发经验', '手游开发经验']"
高级u3d开发工程师（战斗方向）,25-35K,5-10年,学历不限,上海,浦东新区,张江,上海敬游,100-499人,游戏,"['五险一金', '年终奖', '餐补']","['Unity3D', '3D游戏客户端开发经验', 'Unity3D开发经验', '手游开发经验']"
Unity开发工程师,15-25K,5-10年,学历不限,上海,静安区,大宁,上海颜欧科技有限公司,20-99人,游戏,[],[]
资深unity技术美术,20-40K·15薪,3-5年,大专,上海,闵行区,虹桥,上海元拓境科技发展,20-99人,休闲/娱乐,"['节日福利', '法定节假日三薪', '节假日加班费', '零食下午茶', '餐补', '加班补助', '生日福利', '五险一金', '绩效奖金', '带薪年假', '团建聚餐']","['unity', '特效', '渲染']"
