position_name,company_name,salary,work_city,work_exp,education,company_size,company_type,industry,position_url,job_summary,welfare,salary_count
Python运维开发专家,东华软件股份公司,1.2万-1.6万,北京,5-10年,大专,1000-9999人,上市公司,计算机软件,http://www.zhaopin.com/jobdetail/CC193399810J40679201507.htm,1、大专及以上学历，具有8年以上互联网工作经验，5年以上技术主力担当，精通python开发及测试相关工作。2、具备财险相关项目经验，熟悉信息安全行业相关技术，有互联网应用架构经验优先。3、熟悉分布式数据库，有分布式数据库或分布式数据库中间件使用经验，有传统数据库调优经验。4、熟悉面向对象设计，熟悉大数据量、高并发、高性能的分布式系统的设计及应用、调优。5、精通Kafka、RocketMQ、Rabb...,,
python全栈开发工程师,北京阿提拉科技有限公司,1.6万-2.4万,北京,3-5年,大专,300-499人,民营,计算机软件,http://www.zhaopin.com/jobdetail/CC147646000J40707286714.htm,岗位内容：1. 参与Python Web应用程序的开发和维护。2. 配合团队完成项目计划和进度，协调解决团队合作中的问题。3. 编写和维护高质量的代码，确保代码易于理解、可维护和可扩展。4. 参与应用程序架构设计、性能优化和版本管理。5. 利用Python技术进行数据分析和处理。任职要求： 1. 熟练掌握Python语言，有一定的Web开发经验。2. 熟悉MySQL、Oracle、MongoDB等...,,
UE客户端开发工程师（UI方向）,北京华心维联网络科技有限公司,1.9万-3.5万,北京,3-5年,本科,500-999人,民营,互联网,http://www.zhaopin.com/jobdetail/CCL1257005770J40579369413.htm,岗位职责： 1. 使用UE引擎完成UI界面的拼接工作，同时对项目组相关资源进行管理。 3. 与美术部门对接，协调及配合UI/UE视觉展现形式，统一整个游戏的UI风格与交互逻辑； 4. 能够与美术、程序以及策划有良好的沟通，在UE引擎中拼接时准确的表达策划的意图； 5. 负责配合完成美术界面、动效交互设计方案，包括系统界面、剧情表现、库存界面等； 6. 负责跟进、优化和迭代游戏里UI效果的实现及游戏...,,
U3D工程师（统招一本及以上）,沈阳思诺科技有限公司,260-300/天,北京,无经验,本科,100-299人,民营,计算机软件,http://www.zhaopin.com/jobdetail/CC257043280J40346069303.htm,要求： 只要25届毕业后转正，可接受毕业后入职；什么时候来实习都可以，或者毕业后直接来7.1入职。 岗位职责：1、负责Unity3D游戏功能开发，代码设计和编写；2、与策划、美术、产品人员讨论开发需求及技术实现细节;3、负责游戏上线后的优化与迭代开发。任职资格：1、逻辑思维能力强；2、有一定的C#和Unity基础；3、具备基础的数据结构和算法能力；4、统招本科以上，计算机相关专业出身；5、吃苦耐劳...,"节日慰问,绩效奖金,七险一金,有餐补,交通补助,周末双休",
Python计算机兼职教师,北京市商业学校(北京祥龙资产经营有限责任公司党校),3千-6千元/月,北京,1-3年,本科,100-299人,事业单位,培训/辅导服务,http://www.zhaopin.com/jobdetail/CC135351370J40697365307.htm,岗位职责简述：1、负责Python计算机课程的专业课程教学工作，做好备课、上课等相关工作。2、根据教学计划和安排，能胜任并熟练运用最新和先进的信息化教学手段，完成Python计算机课程的信息化设计与课堂授课。3、对学生进行课程任务与作业的布置、指导与答疑，能指导学生专业技能训练。任职条件要求：1、计算机类和理工类相关专业，本科及以上学历，有教师资格证优先。2、有良好的计算机基础，熟练掌握Pytho...,免费班车,
python爬虫工程师,北京保盛航空服务有限公司,1.6万-3万,北京,3-5年,大专,100-299人,民营,客运服务,http://www.zhaopin.com/jobdetail/CC146603620J40648660511.htm,岗位职责1、负责设计、开发和维护高效、稳定的爬虫系统，提升数据采集的效率和质量；2、负责多平台信息抽取、数据清洗、入库、服务化等研发和优化工作；3、解决实际开发过程中碰到的各类产品数据需求和接口问题。任职要求1、大专及以上学历，熟练使用Python或其他相关语言进行爬虫开发，拥有扎实的编码和调试能力，并能够编写高质量的可维护代码；2、熟悉各种爬虫框架和工具，如Scrapy、BeautifulSou...,,
华为云鸿蒙高级开发,软通动力信息技术(集团)股份有限公司,1.3万-2.5万,北京,5-10年,本科,10000人以上,民营,互联网,http://www.zhaopin.com/jobdetail/CC000544460J40643497316.htm,任职要求：1、知识：精通软件研发基础知识，良好的计算机、软件工程领域知识基础。2、技能：至少精通一门编程语言，熟悉ArkTS语言、C++语言等优先；具备三方框架适配开发或开源社区等项目经验优先；熟练使用主流IDE等开发工具，熟悉软件开发流程。3、能力：5年以上编程工作经验，具备良好的学习能力，分析解决问题能力；有较强的沟通协调能力，和强有力的执行推动能力。,,
RPA开发工程师,杭州衡泰技术股份有限公司,1.6万-1.8万,北京,3-5年,本科,1000-9999人,外商独资,计算机软件,http://www.zhaopin.com/jobdetail/CC140358190J40558850206.htm,1、三年以上工作经验，有金融行业项目经验优先；2、有RPA技术实施经验，熟悉RPA常用工具，例如来也、金智维或UiPath等；3、熟悉前端开发技术(HTML5、JS、CSS)、编程语言、数据库技术优先；；4、较好的学习新技术技能的能力、沟通理解能力、问题分析和解决能力;5、积极乐观；认真负责，愿意与他人合作。,,13薪
python爬虫工程师（互联网大厂）,武汉佰钧成技术有限责任公司,1.6万-1.7万,北京,1-3年,本科,1000-9999人,民营,计算机软件,http://www.zhaopin.com/jobdetail/CC364485720J40709906205.htm,后端开发工程师( ID: TPG-数据与知识平台部-010)，5个HC工作内容：1.设计和实现高效的网络爬虫，用于抓取结构化和非结构化数据。2.处理和解析各种数据格式，包括HTML、XML和JSON。3.优化爬虫性能，确保数据抓取的效率和准确性。4.实现数据去重和清洗逻辑，提高数据质量。5.监控爬虫运行状态，及时处理异常和失败情况。6.与团队合作，不断改进爬虫策略和工具。岗位要求：1.计算机科学或...,,
Python爬虫工程师,海峰科技,1万-1.6万,北京,1-3年,本科,20-99人,民营,证券/期货,http://www.zhaopin.com/jobdetail/CC241707730J40336558311.htm,1、负责分布式网络爬虫系统平台的架构设计与开发（如抓取调度，多样化抓取，页面解析和结构化抽取，海量数据存储和读取等）、技术选型； 2、研究爬虫策略和防屏蔽规则，解决封账号、封IP、验证码、页面跳转等难点攻克，提升网页抓取的效率和质量； 3、利用主流的大数据相关技术，对抓取后的网页数据进行清洗、存储等；并持续优化平台，以便满足各种爬取业务需求； 4、把握网络爬虫核心技术研究方向，研究优化算法，提升爬...,"体检福利,带薪旅游,节日慰问,带薪假期,五险一金,弹性工作,定期团建",
