position_name,company_name,salary,work_city,work_exp,education,company_size,company_type,industry,position_url,job_summary,welfare,salary_count
2025届-硕士-AI开发人员-数据科学-上海,康龙化成,1.5万-2万,上海,无经验,硕士,10000人以上,上市公司,医药制造,http://www.zhaopin.com/jobdetail/CC120543470J40768958515.htm,PRINCIPAL ACCOUNTABILITIES 工作内容：①. 用数据挖掘、机器学习等技术手段探索挖掘并打造新药研发中的AI应用②. 参与方案设想、调研、设计、实施全流程研发工作③. 参与数据采集、清洗、增强、分析挖掘、建模工作JOB REQUIREMENTS 我们希望你具备：①. 数学，统计学，人工智能、计算机等专业硕士学历；②. 具备扎实的专业基础，对统计、数据挖掘领域有深度了解和实操能...,,
AI influener（居家办公）联合创始人--金融方向,上海套肯人工智能科技有限责任公司,2.2万-4万,上海,经验不限,本科,20人以下,,人工智能,http://www.zhaopin.com/jobdetail/CCL1478181760J40710533505.htm,职位招募：AI influener（居家办公）联合创始人--金融方向根据AI发展趋势，AGI　五年内必然会实现，superintelligence 十年内必然实现。我们公司专注于superintelligenct，目前筹划用agent实现视频的自动编辑。欢迎您成为我们创业团队的核心成员，与我们一同成长，实现财务自由！我们提供：丰厚的股份激励：加入我们一年后，您将获得价值1000万的公司预期股份。此...,"股票期权,弹性工作",
ppt设计师-线上兼职,四川恒必拓传媒有限公司,500-1000元/周,上海,1-3年,学历不限,20-99人,民营,电子商务,http://www.zhaopin.com/jobdetail/CCL1281388220J40667839912.htm,岗位职责1、 根据需求，设计PPT包括整体布局，美化编辑、动态效果处理等 确保最终效果符合要求；2、结合需求主题设计不同风格、符合主题调性的PPT作品；3、 负责项目文案方面的创作、提炼以及创意构思；4、负责PPT内容策划及排版；get技能：1、PPT设计美化；2、PS，dw，PR，ae，ai、keynote等软件的运用；3、平面设计或美工基础。周结、时间地点自由,工资周结,
2025届 -博士-AI研究员-上海,康龙化成,3万-4.5万,上海,经验不限,博士,10000人以上,上市公司,医药制造,http://www.zhaopin.com/jobdetail/CC120543470J40768879415.htm,岗位职责：在整个新药开发生命周期中开发 AI 应用，包括但不限于药物发现、临床试验和药物监测。利用机器学习技术和大型语言模型，分析提取生物医学和临床数据的见解。与跨职能团队合作，设计和实施增强药物开发流程的 AI解决方案。了解与制药行业相关的机器学习和 AI技术的最新进展。发现，挖掘和实现在药研产业链上 AI 赋能环节和解决方案。为组织的 Al 战略的发展和实施做出贡献。 任职要求:计算机科学、机...,,
AI influener（居家办公）联合创始人-- AI 知识方向,上海套肯人工智能科技有限责任公司,2.2万-4万,上海,1-3年,本科,20人以下,,人工智能,http://www.zhaopin.com/jobdetail/CCL1478181760J40710534705.htm,职位招募：AI influener（居家办公）联合创始人-- AI 知识方向根据AI发展趋势，AGI　五年内必然会实现，superintelligence 十年内必然实现。我们公司专注于superintelligenct，目前筹划用agent实现视频的自动编辑。欢迎您成为我们创业团队的核心成员，与我们一同成长，实现财务自由！我们提供：丰厚的股份激励：加入我们一年后，您将获得价值1000万的公司预期...,"股票期权,弹性工作",
word排版-线上兼职,四川恒必拓传媒有限公司,500-1000元/周,上海,1-3年,大专,20-99人,民营,电子商务,http://www.zhaopin.com/jobdetail/CCL1281388220J40696398112.htm,职位描述：根据客户要求来对文案排版，此岗位不需要坐班，工作时间自由。无需缴纳任何费用 。 主要类型：文档排版设计、书籍排版、图书排版、图文/图册排版、平面排版 任职要求：1.年龄22岁及以上，需要有相关文案排版经验。2.有耐心，有责任心，不拖稿，能接受他人提出的合理修改意见。3.不能失联，时间充裕，能及时回复客户消息。沟通理解能力强。4. 根据时效和要求难度等不同定价，多劳多得，周结。,工资周结,
2025届-硕士-AI开发人员-大模型机器学习-上海,康龙化成,1.5万-2万,上海,经验不限,硕士,10000人以上,上市公司,医药制造,http://www.zhaopin.com/jobdetail/CC120543470J40768927215.htm,1、 PRINCIPAL ACCOUNTABILITIES工作内容负责机器学习、深度学习、大模型相关项目，探索和挖掘AI在新药开发场景及项目中的解决方案；负责具体项目（AI+医药）数据分析、算法/模型方案设计和流程逻辑的调研和研发；参与具体解决方案的数据分析、算法编写等工作；参与模型架构设计、训练、微调等工作；参与项目落地过程中，根据实际情况，对方案可行性、潜在风险的评估和预判； 2、 JOB R...,,
AI influener（居家办公）联合创始人-- AI 知识方向,上海套肯人工智能科技有限责任公司,4千-8千,上海,经验不限,本科,20人以下,,人工智能,http://www.zhaopin.com/jobdetail/CCL1478181760J40694093605.htm,职位招募：AI influener（居家办公）联合创始人-- AI 知识方向根据AI发展趋势，AGI　五年内必然会实现，superintelligence 十年内必然实现。我们公司专注于superintelligenct，目前筹划用agent实现视频的自动编辑。欢迎您成为我们创业团队的核心成员，与我们一同成长，实现财务自由！我们提供： 丰厚的股份激励：加入我们一年后，您将获得价值1000万的公司预...,"股票期权,弹性工作",
PPT设计师【可居家办公】,郑州郑东新区芙力米文化艺术交流有限公司,6千-1万,上海,经验不限,大专,100-299人,,电子商务,http://www.zhaopin.com/jobdetail/CCL1445586370J40686788102.htm,"我司在电商平台有自己的设计店铺，工作便利，多渠道订单，不用担心订单问题，主要做PPT、简历等，需要大量设计师。公司与各位设计人员双方本着友好合作、平等互利的原则,您做单，我给单，您定稿，我结算，互惠互利，做的越多给予的单量与金额均会优质化。1、可接受应届毕业生2、有良好的服务意识3、有耐心，可以和客户良好的沟通并设计出成稿。 经常联系不上的勿扰 玻璃心的勿扰 和客户沟通一点困难就退缩的勿扰 非诚勿...",,
2025届-硕士-AI开发人员-算法工程师-上海,康龙化成,1.5万-2万,上海,经验不限,硕士,10000人以上,上市公司,医药制造,http://www.zhaopin.com/jobdetail/CC120543470J40768959515.htm,1、 PRINCIPAL ACCOUNTABILITIES主要工作内容 负责支持开发和使用人工智能（AI）大模型和深度学习算法，结合计算生物学、结构生物学、化学信息学等技术应用于大分子/小分子药物研发相关环节；围绕业务需求，支持并构建大分子/小分子垂直领域模型化平台；使用state of art生物信息和结构生物学工具进行蛋白质序列比对、同源建模、结构预测、功能分析、结构比对等工作；使用分子动力学...,,
